질문,답변
모젠 서비스에 오류가 있을 때에는 어떻게 하나요?,모젠고객센터(080-600-6000)로 문의 주시거나 1:1상담 문의에 올려주시면 신속하게 지원해 드리겠습니다.
보증 수리기간이 어떻게 되나요?,"모젠 단말기의 보증수리 기간은 구입한 신차의 보증 내용 및 규약에 종속됩니다. 현대자동차의 보증수리 기간은 차종, 동력전달장치, 일반부품 등에 따라 차이가 있으며, 모젠 단말기는 일반부품의 보증기간에 따릅니다."
ACC ON시에 바로 화면이 표시되지 않습니다.,"모젠 단말기는 ACC OFF시에 단말기의 전원을 바로 끄지 않고, 수 초 동안 상태를 확인 하고 종료합니다. 따라서 이 동안에 ACC OFF/ON을 반복하는 경우 단말의 전원종료 후 재가동이 지연되어 수초의 동작 지연 현상이 나타날 수 있습니다. 잠시만 기다리시면 됩니다."
"사용도중 단말기가 갑자기 중지되거나, 버튼을 입력해도 말을 듣지 않습니다.","모젠은 차량용 컴퓨터로 개발되었으며, 각종 AV와 이동전화, 내비게이션 시스템과 텔레매틱스의 각 기능이 중앙처리장치(CPU)와 운영시스템(OS)에 의해서 운영되도록 개발되었습니다. 따라서, 작동 중에 소프트웨어의 충돌이 발생하거나 프로그램의 원할한 처리가 이루어지지 않는 경우, 아주 간헐적으로 단말기가 일시적으로 동작이 중지되는 경우가 발생할 수 있습니다. 이는 고장이나 단말기 시스템의 하자는 아니며, 리셋버튼을 누르시면 다시 이용하실 수 있습니다. 단말기 오른쪽 하단에 있는 리셋버튼을 누르시면 다시 작동이 가능합니다."
단말기 모델 및 일련번호는 어디서 확인하나요?,단말기 `INFO` 버튼 → `환경 설정` 선택 → `단말기 정보` 선택
"차안에서 음악을 듣는 데, 자꾸 길안내 방송이 나와서 신경을 쓰이게 합니다.",지도 화면 좌측 상단에 있는 `확성기` 모양의 아이콘을 선택하면 안내음이 나오지 않습니다. 다시 음성안내를 듣고자 하시면 아이콘을 다시 한번 선택하시면 됩니다.
GPS 수신이 안됩니다. 어떻게 하나요?,"기본적으로 시동을 켠 후 약몇분동안 GPS인식되는 시간소요가 필요합니다. 그리고, GPS위성에서 발송하는 전파의 특성 상 고가 밑, 지하차도, 도심 건물 밀집 지역 등 GPS 수신 안테나가 가려지는 경우 수신 불량 상태가 발생 할 수 있습니다. 따라서 장애물이 없는 위치로 차량이 이동되면 GPS 수신 기능이 정상적으로 작동하게 됩니다. 만약 개활지 상태에서도 위성수신 상태가 불량하면 A/S망을 이용하여 GPS 수신 장치의 정비를 받으셔야 합니다."
내비게이션의 지도 업그레이드는 어떻게 하나요?,모젠 지도 업그레이드는 차량용 A/V 및 내비게이션 A/S를 담당하고 있는 현대 웰슨에서 수행하고 있습니다.  전국 현대자동차 23개 하이테크센터와 기아자동차 11개 직영서비스 센터에서 현대 웰슨 A/S요원이 상주 근무하고 있으며 전국 115개소의 현대 웰슨 협력점에서 지도 업그레이드가 가능합니다.  모젠고객센터 080-600-6000으로 전화주시면 지도 업그레이드 상담이 가능하며 업그레이드 가능한 가까운 서비스센터에 대한 안내를 받으실 수 있습니다.
단말기만 별도로 충전을 해줘야 하나요?,"차량의 배터리와 연결되어 있으며, 별도의 충전은 필요없습니다."
단말기의 벨소리를 다운로드 받을 수 있나요?,불가능 합니다. 단말기내에 이미 저장된 벨소리 중에서만 선택변경 하실 수 있습니다.
단말기로 전화가 왔을때 전화를 받고 싶지 않다면 어떻게 해야하나요?,"전화 수신 화면에서 ""수신거부"" 버튼을 누르시면 됩니다."
