질문,답변
출고 이후 카드키만 따로 구매 가능한가요?,"NFC 카드키를 따로 구매하는 것은 가능하지만, 디지털키 옵션을 선택하지 않은 경우 등록은 불가능 합니다. 즉, 디지털키 옵션 선택한 경우에만 NFC 카드 키 등록이 가능합니다.  NFC 카드 키 구매는 전국 모비스 A/S망(오프라인) 및 블루멤버스 포인트몰(온라인)에서 구매할 수 있으며 카드 키 등록 방법은 크게 1. NFC 카드 키 등록 인증 → 2. 차량 내 카드 키 등록으로 이루어 집니다. 보다 자세한 절차는 위 ""NFC 카드키 등록은 어떻게 하나요?"" 문항을 참고 부탁드립니다."
디지털 키 App이 계속 자동으로 꺼지는데 어떻게 하나요?,"App이 자동으로 종료되는 현상은 크게 2가지로 나뉩니다. 각 경우에 해당하는 항목을 참고하세요.  1. 최신 버전 미지원: 현대 디지털 키 App이 최신 버전이 아닐 경우, 간혹 App이 종료될 수 있습니다. 이 경우 구글 플레이 스토어에서 App을 최신 버전으로 업데이트 하시면 정상 사용 가능합니다.  2. 보안 프로그램 충돌: 현대 디지털 키 App의 보안 솔루션 기능에서 Rooting이 탐지 될 경우 App이 자동으로 종료될 수 있습니다. 이 경우 스마트폰의 Root 권한을 사용하는 App을 삭제하시면 디지털 키 정상 사용 가능합니다.  ■ 스마트폰의 Root 권한을 사용하는 App 확인 방법 구글 플레이 스토어 →“Root” 또는 “Superuser”로 검색 →해당 App 목록을 확인"
"소유 차량 등록 확인은 어떻게 하나요?(중고차, 명의변경)","중고차 혹은 명의변경의 경우는 다음과 같은 절차로 차량 등록 가능합니다. (자동차 등록원부 상 ""대표 명의자""만 인증이 가능합니다.)  ■ 디지털 키 APP 메뉴 [차량 인증] - [디지털 키 차량 등록 확인] - [팝업된 정보 입력]"
공동명의 차량인데 차량 등록이 안되는데 어떻게 해야 하나요?,"현대 디지털 키 App은 '자동차 등록원부' 상 차량의 대표 명의자(1명)로 등재가 되어 있는 소유주 분만 인증이 가능합니다. 공동명의의 경우 역시 차량의 대표 명의자는 1명으로 대표 명의자가 키를 발급받고, 공동 명의자에게 키를 공유하는 방식으로 사용이 가능합니다.  ■ 차량 대표 명의자 확인 방법 1) 인터넷 : 자동차 365(http://car365.go.kr)→ 자동차민원 대국민포털 → 등록원부발급(무료) → 차량 대표 명의자 확인"
휴대폰 nfc기능이 인식이 안돼요. 어떻게 해야하나요?,금속 혹은 두꺼운 핸드폰 케이스를 사용하거나 무선 충전 패드 위에 금속류의 부착물을 장착한 경우에는 전파 간섭에 의해 현대 디지털 키 이용에 제한이 있을 수 있습니다. 이 경우 휴대폰 케이스 및 패드 부착물 제거하시면 nfc 정상 인식 및 동작 가능합니다.
핀번호 잊은 경우에는 어떻게 하나요?,"홈페이지에서 마이페이지 상에 PIN 초기화 시, 탈퇴 없이도 본인인증을 하면 PIN을 새로 변경해 사용할 수 있습니다."
"안드로이드 OS 버전, 블루투스 버전 확인 방법은 어떻게 되나요?","안드로이드 OS 보는 법, 블루투스 버전 확인은 스마트폰 제조사 홈페이지를 참고해 주시기 바랍니다."
NFC 카드키 등록은 어떻게 하나요?,"NFC카드는 외부에서 구매가 가능해 발렛파킹 등에서 타인의 카드키를 쉽게 등록하는 것을 방지하기 위해 여러 인증 방법을 거쳐 등록이 가능합니다. NFC 카드 키 등록 방법은 다음과 같이 크게 2가지 절차로 구분됩니다. 1. NFC 카드 키 등록 인증 2. 차량 내 카드 키 등록  1. NFC 카드 키 등록 인증(3가지 방법 중 택일) ■ 블루투스 인증 방식 1) 현대 디지털 키 앱 에서 [카드 키 등록 인증] – [블루투스 인증] 선택 2) 인증 성공 메시지 확인 하고 5분 이내 [2. 차량 내 카드 키 등록] 절차 진행  ■ NFC 인증 방식 1) 현대 디지털 키 앱에서 [카드 키 등록 인증] – [NFC 인증] 선택 2) 운전석/조수석 도어 손잡이에 디지털 키(스마트폰) 접촉하여 인증 수행 3) 인증 성공 메시지 확인 하고 5분 이내 [2. 차량 내 카드 키 등록] 절차 진행  ■ 스마트 키 인증 방식(아이폰 사용자 포함 아반떼CN7, 쏘나타 DN8 20MY 및 이후 출시 차종에 한함) 1) 스마트 키 2개를 소지한 상태에서 차량에 탑승 2) [2. 차량 내 카드 키 등록] 절차 진행  2. 차량 내 카드 키 등록 1) 1개 이상의 스마트 FOB 키를 소지한 상태로 차량 탑승 합니다 2) 스마트폰 무선충전 패드에 카드 키를 거치합니다. 3) AVN 화면에서 '카드 키' > '등록' 버튼을 눌러 카드 키를 차량에 등록합니다."
LG 핸드폰은 GPS ON 해야 디지털키 사용이 가능한가요?,LG 기종 뿐만 아니라 삼성 기종에서도 일부 제조사/통신사 전용 서비스(각종 페이 등) 사용성 때문에 GPS를 켜야 NFC와 블루투스가 동작하는 스마트폰이 있습니다. 일반적으로 GPS ON 상태를 권장합니다.
법인 구매 고객은 주사용자 등록을 어떻게 하나요?,법인 실운행 개인 고객 이용 가능합니다 (현대자동차 법인 페이지 통해 차량 등록 후 스마트폰에서 가능함) 상세 경로 : 현대자동차 홈페이지 법인 회원 가입 → 법인 로그인 → 법인 페이지 → (하단) 현대 디지털 키 주 사용자관리 → 주 사용자 등록/수정 → 개인 사용자 정보 입력 → 가입 안내 문자 발송 → 개인 스마트폰에서 등록 진행 하시면 됨 유선안내하고 문자로도 발송
데이터가 없거나 수신이 안되는 지역에서도 사용이 가능한가요?,"데이터가 없거나 수신이 안되는 지역에서 사용시 문자 나옴 (오프라인에서 15회 사용 가능, 단 사용자 고의로 데이터 차단한 경우는 사용 불가) > 15회 사용하면 도어 오픈 불가할 수 있어 스마트키나 카드키 사용시 초기화되어 사용 가능 > 15회 카운트는 디지털 키를 사용하는 개별 행위의 카운트입니다. (예 도어오픈, 시동, 시동종료, 도어클로즈 사용하면 4회/15 사용임) > 데이터가 연결되면 15회 카운트는 리셋됩니다. 다시 데이터 음영지역으로 들어가 사용하면 1회 카운트부터 적용됩니다."
